<TICKER>,<SECTOR>,<INDUSTRY>
LXRX.US,Healthcare,Biotechnology
HCDI.US,Real Estate,Real Estate—Development
ULTA.US,Consumer Cyclical,Specialty Retail
AMTD.US,Financial Services,Asset Management
NOPE.US,NA,NA
SWX.US,Utilities,Utilities—Regulated Gas
SUPN.US,Healthcare,Drug Manufacturers—Specialty & Generic
MULN.US,Consumer Cyclical,Auto Manufacturers
PLOW.US,Consumer Cyclical,Auto Parts
SOHOB.US,Real Estate,REIT—Hotel & Motel
LTRPB.US,Communication Services,Internet Content & Information
IPI.US,Basic Materials,Agricultural Inputs
AVNS.US,Healthcare,Medical Devices
NVEC.US,Technology,Semiconductors
BSAC.US,Financial Services,Banks—Regional
CLW.US,Basic Materials,Paper & Paper Products
RIOT.US,Financial Services,Capital Markets
GNK.US,Industrials,Marine Shipping
HAS.US,Consumer Cyclical,Leisure
PLNT.US,Consumer Cyclical,Leisure
PFIS.US,Financial Services,Banks—Regional
OII.US,Energy,Oil & Gas Equipment & Services
HA.US,Industrials,Airlines
VALN.US,Healthcare,Biotechnology
GWH.US,Industrials,Electrical Equipment & Parts
ALVR.US,Healthcare,Biotechnology
LBTYB.US,Communication Services,Telecom Services
WBA.US,Healthcare,Pharmaceutical Retailers
LAZR.US,Consumer Cyclical,Auto Parts
NET.US,Technology,Software—Infrastructure
TDG.US,Industrials,Aerospace & Defense
OCFT.US,Technology,Software—Application
GRMN.US,Technology,Scientific & Technical Instruments
IQ.US,Communication Services,Entertainment
KAMN.US,Industrials,Aerospace & Defense
PH.US,Industrials,Specialty Industrial Machinery
FTCH.US,Consumer Cyclical,Internet Retail
WKEY.US,Technology,Semiconductors
CIEN.US,Technology,Communication Equipment
NUS.US,Consumer Defensive,Household & Personal Products
VIASP.US,Utilities,Utilities—Regulated Electric
ACNT.US,Basic Materials,Steel
CBT.US,Basic Materials,Specialty Chemicals
CHRS.US,Healthcare,Biotechnology
FTAI.US,Industrials,Rental & Leasing Services
RZLT.US,Healthcare,Biotechnology
CCNE.US,Financial Services,Banks—Regional
IROQ.US,Financial Services,Banks—Regional
CHTR.US,Communication Services,Telecom Services
F.US,Consumer Cyclical,Auto Manufacturers
PACWP.US,NA,NA
CDXC.US,Healthcare,Biotechnology
BFI.US,Consumer Cyclical,Restaurants
PLMR.US,Financial Services,Insurance—Property & Casualty
PRTC.US,Healthcare,Biotechnology
SHPH.US,Healthcare,Drug Manufacturers—Specialty & Generic
TNC.US,Industrials,Specialty Industrial Machinery
FSTR.US,Industrials,Railroads
ROAD.US,Industrials,Engineering & Construction
OMIC.US,Healthcare,Medical Instruments & Supplies
GEVO.US,Basic Materials,Specialty Chemicals
ROCK.US,Industrials,Building Products & Equipment
MERC.US,Basic Materials,Paper & Paper Products
AVD.US,Basic Materials,Agricultural Inputs
FIBK.US,Financial Services,Banks—Regional
PI.US,Technology,Communication Equipment
LW.US,Consumer Defensive,Packaged Foods
BN.US,Financial Services,Asset Management
AB.US,Financial Services,Asset Management
UNMA.US,NA,NA
LRMR.US,Healthcare,Biotechnology
SFB.US,NA,NA
EE.US,Utilities,Utilities—Renewable
AMRN.US,Healthcare,Drug Manufacturers—General
ZIONO.US,Financial Services,Banks—Regional
ARCH.US,Basic Materials,Coking Coal
FUL.US,Basic Materials,Specialty Chemicals
HTOO.US,Utilities,Utilities—Renewable
RXDX.US,Healthcare,Biotechnology
AFIB.US,Healthcare,Medical Devices
SCHL.US,Communication Services,Publishing
MGA.US,Consumer Cyclical,Auto Parts
PRDO.US,Consumer Defensive,Education & Training Services
USB.US,Financial Services,Banks—Regional
HASI.US,Real Estate,REIT—Specialty
PSNL.US,Healthcare,Diagnostics & Research
TWI.US,Industrials,Farm & Heavy Construction Machinery
CLMT.US,Energy,Oil & Gas E&P
CUBI_F.US,NA,NA
CIM_A.US,NA,NA
GSUN.US,Consumer Defensive,Education & Training Services
SOGU.US,NA,NA
TNP.US,Energy,Oil & Gas Midstream
CARS.US,Consumer Cyclical,Auto & Truck Dealerships
MLKN.US,Consumer Cyclical,Furnishings Fixtures & Appliances
ERNA.US,Healthcare,Biotechnology
MLAB.US,Technology,Scientific & Technical Instruments
CENT.US,Consumer Defensive,Packaged Foods
CENX.US,Basic Materials,Aluminum
BBAR.US,Financial Services,Banks—Regional
DLX.US,Communication Services,Advertising Agencies
LEE.US,Communication Services,Publishing
ANGN.US,Healthcare,Biotechnology
NTRA.US,Healthcare,Diagnostics & Research
RYAN.US,Financial Services,Insurance—Specialty
SLAB.US,Technology,Semiconductors
ADNT.US,Consumer Cyclical,Auto Parts
AJRD.US,Industrials,Aerospace & Defense
AMSC.US,Industrials,Specialty Industrial Machinery
DCBO.US,Technology,Software—Application
FRAF.US,Financial Services,Banks—Regional
FWRD.US,Industrials,Integrated Freight & Logistics
DNMR.US,Basic Materials,Specialty Chemicals
T_A.US,NA,NA
MLI.US,Industrials,Metal Fabrication
IMAX.US,Communication Services,Entertainment
OIS.US,Energy,Oil & Gas Equipment & Services
AIN.US,Consumer Cyclical,Textile Manufacturing
NKEQ.US,NA,NA
COO.US,Healthcare,Medical Instruments & Supplies
PFBC.US,Financial Services,Banks—Regional
BRP.US,Financial Services,Insurance Brokers
QRVO.US,Technology,Semiconductors
UXIN.US,Consumer Cyclical,Auto & Truck Dealerships
XPO.US,Industrials,Trucking
ZIMV.US,Healthcare,Medical Devices
CR.US,Industrials,Specialty Industrial Machinery
MCB.US,Financial Services,Banks—Regional
LMNR.US,Consumer Defensive,Farm Products
WMK.US,Consumer Defensive,Grocery Stores
EVOP.US,Technology,Software—Infrastructure
FWONK.US,Communication Services,Entertainment
METX.US,Consumer Defensive,Education & Training Services
MTN.US,Consumer Cyclical,Resorts & Casinos
EGRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
SRI.US,Consumer Cyclical,Auto Parts
WPM.US,Basic Materials,Gold
DD.US,Basic Materials,Specialty Chemicals
FLUX.US,Industrials,Electrical Equipment & Parts
PEBK.US,Financial Services,Banks—Regional
WTFC.US,Financial Services,Banks—Regional
TANNZ.US,NA,NA
WOW.US,Communication Services,Telecom Services
NMIH.US,Financial Services,Insurance—Specialty
AFGC.US,NA,NA
ONON.US,Consumer Cyclical,Footwear & Accessories
SNDX.US,Healthcare,Biotechnology
PACK.US,Consumer Cyclical,Packaging & Containers
BML_J.US,NA,NA
ICUI.US,Healthcare,Medical Instruments & Supplies
VOXX.US,Technology,Consumer Electronics
MP.US,Basic Materials,Other Industrial Metals & Mining
AMZU.US,NA,NA
VTYX.US,Healthcare,Biotechnology
AMR.US,Basic Materials,Coking Coal
TPC.US,Industrials,Engineering & Construction
CCL.US,Consumer Cyclical,Travel Services
RES.US,Energy,Oil & Gas Equipment & Services
INZY.US,Healthcare,Biotechnology
BXRX.US,Healthcare,Biotechnology
ADUS.US,Healthcare,Medical Care Facilities
BASE.US,Technology,Software—Infrastructure
SOJC.US,NA,NA
VLGEA.US,Consumer Defensive,Grocery Stores
CPRT.US,Consumer Cyclical,Auto & Truck Dealerships
MSCI.US,Financial Services,Financial Data & Stock Exchanges
CVLY.US,Financial Services,Banks—Regional
FLS.US,Industrials,Specialty Industrial Machinery
CRH.US,Basic Materials,Building Materials
NKEL.US,NA,NA
ARLP.US,Energy,Thermal Coal
MPC.US,Energy,Oil & Gas Refining & Marketing
ONTF.US,Technology,Software—Application
OGN.US,Healthcare,Drug Manufacturers—General
ELOX.US,Healthcare,Biotechnology
SGBX.US,Industrials,Metal Fabrication
MUR.US,Energy,Oil & Gas E&P
IVR_C.US,NA,NA
OSTK.US,Consumer Cyclical,Internet Retail
BTU.US,Energy,Thermal Coal
DTST.US,Technology,Information Technology Services
WAL.US,Financial Services,Banks—Regional
FTDS.US,NA,NA
JNPR.US,Technology,Communication Equipment
JWEL.US,Consumer Cyclical,Internet Retail
LII.US,Industrials,Building Products & Equipment
SXTC.US,Healthcare,Drug Manufacturers—Specialty & Generic
BLCM.US,Healthcare,Biotechnology
LRN.US,Consumer Defensive,Education & Training Services
KOSS.US,Technology,Consumer Electronics
TBI.US,Industrials,Staffing & Employment Services
ASTR.US,Industrials,Aerospace & Defense
CBOE.US,Financial Services,Financial Data & Stock Exchanges
ITT.US,Industrials,Specialty Industrial Machinery
QURE.US,Healthcare,Biotechnology
CPS.US,Consumer Cyclical,Auto Parts
AEO.US,Consumer Cyclical,Apparel Retail
SJW.US,Utilities,Utilities—Regulated Water
ZIONP.US,Financial Services,Banks—Regional
ABB.US,Industrials,Electrical Equipment & Parts
AZZ.US,Industrials,Specialty Business Services
COUR.US,Consumer Defensive,Education & Training Services
AMEH.US,Healthcare,Medical Care Facilities
ZURA.US,Healthcare,Biotechnology
SFST.US,Financial Services,Banks—Regional
SYNH.US,Healthcare,Diagnostics & Research
EB.US,Technology,Software—Application
TLYS.US,Consumer Cyclical,Apparel Retail
MIST.US,Healthcare,Biotechnology
AXP.US,Financial Services,Credit Services
NRBO.US,Healthcare,Biotechnology
PMD.US,Healthcare,Diagnostics & Research
JZXN.US,Consumer Cyclical,Auto & Truck Dealerships
HTLD.US,Industrials,Trucking
SNGX.US,Healthcare,Biotechnology
FRME.US,Financial Services,Banks—Regional
ELV.US,Healthcare,Healthcare Plans
TAOP.US,Technology,Software—Infrastructure
AIRTP.US,Industrials,Integrated Freight & Logistics
MDV.US,Real Estate,REIT—Diversified
MTR.US,Energy,Oil & Gas E&P
CCOI.US,Communication Services,Telecom Services
PMT_A.US,NA,NA
TME.US,Communication Services,Internet Content & Information
HI.US,Industrials,Specialty Industrial Machinery
CCZ.US,NA,NA
CSTM.US,Basic Materials,Aluminum
INTU.US,Technology,Software—Application
AMNB.US,Financial Services,Banks—Regional
CASA.US,Technology,Communication Equipment
PHAT.US,Healthcare,Biotechnology
PACB.US,Healthcare,Medical Devices
KFRC.US,Industrials,Staffing & Employment Services
MLEC.US,Healthcare,Biotechnology
TR.US,Consumer Defensive,Confectioners
ADN.US,Utilities,Utilities—Renewable
DFLI.US,Industrials,Electrical Equipment & Parts
VGR.US,Consumer Defensive,Tobacco
BNR.US,Healthcare,Diagnostics & Research
C_K.US,NA,NA
INVH.US,Real Estate,REIT—Residential
MORN.US,Financial Services,Financial Data & Stock Exchanges
NOA.US,Energy,Oil & Gas Equipment & Services
BRLT.US,Consumer Cyclical,Luxury Goods
AMAM.US,Healthcare,Biotechnology
CPA.US,Industrials,Airlines
DRI.US,Consumer Cyclical,Restaurants
ELYM.US,Healthcare,Biotechnology
IMBI.US,Consumer Cyclical,Specialty Retail
MER_K.US,NA,NA
MNMD.US,Healthcare,Biotechnology
NLS.US,Consumer Cyclical,Leisure
BIG.US,Consumer Defensive,Discount Stores
CLMB.US,Technology,Electronics & Computer Distribution
INBKZ.US,NA,NA
IMUX.US,Healthcare,Biotechnology
MDB.US,Technology,Software—Infrastructure
MTLS.US,Technology,Software—Application
XPEV.US,Consumer Cyclical,Auto Manufacturers
ASH.US,Basic Materials,Specialty Chemicals
SEM.US,Healthcare,Medical Care Facilities
ENR.US,Industrials,Electrical Equipment & Parts
BBWI.US,Consumer Cyclical,Specialty Retail
SAFT.US,Financial Services,Insurance—Property & Casualty
FREQ.US,Healthcare,Biotechnology
AADI.US,Healthcare,Biotechnology
RGEN.US,Healthcare,Medical Instruments & Supplies
FIS.US,Technology,Information Technology Services
BCOV.US,Technology,Software—Application
VERU.US,Healthcare,Biotechnology
SAGE.US,Healthcare,Biotechnology
SGC.US,Consumer Cyclical,Apparel Manufacturing
FSFG.US,Financial Services,Banks—Regional
RIG.US,Energy,Oil & Gas Drilling
DDS.US,Consumer Cyclical,Department Stores
DAVA.US,Technology,Software—Infrastructure
PINS.US,Communication Services,Internet Content & Information
AA.US,Basic Materials,Aluminum
DSP.US,Technology,Software—Application
OFIX.US,Healthcare,Medical Devices
MRO.US,Energy,Oil & Gas E&P
MDGS.US,Healthcare,Medical Devices
ATER.US,Consumer Cyclical,Furnishings Fixtures & Appliances
CRSP.US,Healthcare,Biotechnology
LMNL.US,Healthcare,Biotechnology
SPGI.US,Financial Services,Financial Data & Stock Exchanges
SMTC.US,Technology,Semiconductors
MYOV.US,Healthcare,Biotechnology
STAA.US,Healthcare,Medical Instruments & Supplies
IPAR.US,Consumer Defensive,Household & Personal Products
GPRE.US,Basic Materials,Chemicals
MLR.US,Consumer Cyclical,Auto Parts
TRST.US,Financial Services,Banks—Regional
CTBI.US,Financial Services,Banks—Regional
ARAV.US,Healthcare,Biotechnology
LEN.US,Consumer Cyclical,Residential Construction
RPAY.US,Technology,Software—Infrastructure
MSM.US,Industrials,Industrial Distribution
TROO.US,Technology,Software—Application
ACRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
GMBLW.US,NA,NA
PGR.US,Financial Services,Insurance—Property & Casualty
EQIX.US,Real Estate,REIT—Specialty
HTGM.US,Healthcare,Diagnostics & Research
JHG.US,Financial Services,Asset Management
NS_A.US,NA,NA
CAL.US,Consumer Cyclical,Footwear & Accessories
CASY.US,Consumer Cyclical,Specialty Retail
FINW.US,Financial Services,Banks—Regional
FCAP.US,Financial Services,Banks—Regional
MLM.US,Basic Materials,Building Materials
HIFS.US,Financial Services,Banks—Regional
TECH.US,Healthcare,Biotechnology
VKTX.US,Healthcare,Biotechnology
BC_A.US,NA,NA
UAN.US,Basic Materials,Agricultural Inputs
DLB.US,Industrials,Specialty Business Services
RCUS.US,Healthcare,Biotechnology
SOS.US,Technology,Software—Infrastructure
SR_A.US,NA,NA
EVOK.US,Healthcare,Drug Manufacturers—Specialty & Generic
WFRD.US,Energy,Oil & Gas Equipment & Services
AUPH.US,Healthcare,Biotechnology
SMBK.US,Financial Services,Banks—Regional
DCPH.US,Healthcare,Drug Manufacturers—Specialty & Generic
LBRDK.US,Communication Services,Telecom Services
LBTYK.US,Communication Services,Telecom Services
TNON.US,Healthcare,Medical Devices
NXPI.US,Technology,Semiconductors
AMCX.US,Communication Services,Entertainment
VNO.US,Real Estate,REIT—Office
SASR.US,Financial Services,Banks—Regional
GTN-A.US,Communication Services,Broadcasting
LABP.US,Healthcare,Biotechnology
MYGN.US,Healthcare,Diagnostics & Research
BUD.US,Consumer Defensive,Beverages—Brewers
POR.US,Utilities,Utilities—Regulated Electric
ALL_H.US,NA,NA
ADAP.US,Healthcare,Biotechnology
WDC.US,Technology,Computer Hardware
PAM.US,Utilities,Utilities—Independent Power Producers
UTSI.US,Technology,Communication Equipment
LCI.US,Healthcare,Drug Manufacturers—Specialty & Generic
NWE.US,Utilities,Utilities—Diversified
CPB.US,Consumer Defensive,Packaged Foods
MKC.US,Consumer Defensive,Packaged Foods
RDIB.US,Communication Services,Entertainment
SNES.US,Basic Materials,Specialty Chemicals
RGS.US,Consumer Cyclical,Personal Services
AUBN.US,Financial Services,Banks—Regional
UNFI.US,Consumer Defensive,Food Distribution
QSI.US,Healthcare,Biotechnology
Z.US,Communication Services,Internet Content & Information
SSYS.US,Technology,Computer Hardware
CROX.US,Consumer Cyclical,Footwear & Accessories
TTCF.US,Consumer Defensive,Packaged Foods
LTRN.US,Healthcare,Biotechnology
CLSK.US,Financial Services,Capital Markets
AMN.US,Healthcare,Medical Care Facilities
LXFR.US,Industrials,Specialty Industrial Machinery
ZEUS.US,Basic Materials,Steel
AHL_C.US,NA,NA
MHK.US,Consumer Cyclical,Furnishings Fixtures & Appliances
TALS.US,Healthcare,Biotechnology
GXO.US,Industrials,Integrated Freight & Logistics
IMXI.US,Technology,Software—Infrastructure
NGVC.US,Consumer Defensive,Grocery Stores
TSP.US,Industrials,Trucking
HYZN.US,Consumer Cyclical,Auto Manufacturers
AIP.US,Technology,Semiconductors
IMVT.US,Healthcare,Biotechnology
OLO.US,Technology,Software—Application
CHCT.US,Real Estate,REIT—Healthcare Facilities
CDMO.US,Healthcare,Biotechnology
IHG.US,Consumer Cyclical,Lodging
IAA.US,Consumer Cyclical,Auto & Truck Dealerships
STRA.US,Consumer Defensive,Education & Training Services
CNTG.US,Healthcare,Diagnostics & Research
EQH.US,Financial Services,Insurance—Diversified
WD.US,Financial Services,Mortgage Finance
LDOS.US,Technology,Information Technology Services
TARA.US,Healthcare,Biotechnology
FNA.US,Healthcare,Medical Devices
XM.US,Technology,Software—Application
WMG.US,Communication Services,Entertainment
PSHG.US,Industrials,Marine Shipping
SATS.US,Technology,Communication Equipment
RDHL.US,Healthcare,Drug Manufacturers—Specialty & Generic
ISIG.US,Communication Services,Advertising Agencies
LMAT.US,Healthcare,Medical Instruments & Supplies
EXPE.US,Consumer Cyclical,Travel Services
PNM.US,Utilities,Utilities—Regulated Electric
ALBO.US,Healthcare,Biotechnology
SST.US,Industrials,Specialty Business Services
HCM.US,Healthcare,Drug Manufacturers—Specialty & Generic
IRM.US,Real Estate,REIT—Specialty
NLY_F.US,NA,NA
RAAS.US,Technology,Software—Application
SPCB.US,Industrials,Security & Protection Services
SYF.US,Financial Services,Credit Services
NSTG.US,Healthcare,Medical Instruments & Supplies
EPR_G.US,NA,NA
PHR.US,Healthcare,Health Information Services
GEOS.US,Energy,Oil & Gas Equipment & Services
CASI.US,Healthcare,Biotechnology
EVBG.US,Technology,Software—Application
MMC.US,Financial Services,Insurance Brokers
NGG.US,Utilities,Utilities—Regulated Electric
ALC.US,Healthcare,Medical Instruments & Supplies
GRTS.US,Healthcare,Biotechnology
HOFT.US,Consumer Cyclical,Furnishings Fixtures & Appliances
RGLD.US,Basic Materials,Gold
SGRY.US,Healthcare,Medical Care Facilities
DAVE.US,Technology,Software—Application
SRG_A.US,NA,NA
TWO_A.US,NA,NA
DELL.US,Technology,Computer Hardware
EOG.US,Energy,Oil & Gas E&P
GOLD.US,Basic Materials,Gold
WKHS.US,Consumer Cyclical,Auto Manufacturers
ALB.US,Basic Materials,Specialty Chemicals
CABA.US,Healthcare,Biotechnology
AXNX.US,Healthcare,Medical Devices
PERI.US,Communication Services,Internet Content & Information
WH.US,Consumer Cyclical,Lodging
CNDT.US,Technology,Information Technology Services
IBN.US,Financial Services,Banks—Regional
ATNX.US,Healthcare,Drug Manufacturers—Specialty & Generic
ABNB.US,Consumer Cyclical,Travel Services
INBX.US,Healthcare,Biotechnology
TTEC.US,Technology,Information Technology Services
CNTY.US,Consumer Cyclical,Resorts & Casinos
PAA.US,Energy,Oil & Gas Midstream
CRBU.US,Healthcare,Biotechnology
VIRX.US,Healthcare,Biotechnology
EXAS.US,Healthcare,Diagnostics & Research
CEVA.US,Technology,Semiconductors
FSLY.US,Technology,Software—Application
AIHS.US,Financial Services,Credit Services
DQ.US,Technology,Semiconductor Equipment & Materials
JKS.US,Technology,Solar
OXM.US,Consumer Cyclical,Apparel Manufacturing
IFF.US,Basic Materials,Specialty Chemicals
NTES.US,Communication Services,Electronic Gaming & Multimedia
VAXX.US,Healthcare,Biotechnology
ANF.US,Consumer Cyclical,Apparel Retail
VLYPO.US,Financial Services,Banks—Regional
T_C.US,NA,NA
VMI.US,Industrials,Conglomerates
WSM.US,Consumer Cyclical,Specialty Retail
HUBG.US,Industrials,Integrated Freight & Logistics
CELC.US,Healthcare,Biotechnology
GYRO.US,Real Estate,Real Estate Services
NAMS.US,Healthcare,Biotechnology
PWOD.US,Financial Services,Banks—Regional
FL.US,Consumer Cyclical,Apparel Retail
GME.US,Consumer Cyclical,Specialty Retail
HQI.US,Industrials,Staffing & Employment Services
TOPS.US,Industrials,Marine Shipping
ARKR.US,Consumer Cyclical,Restaurants
TPB.US,Consumer Defensive,Tobacco
CHD.US,Consumer Defensive,Household & Personal Products
ESE.US,Technology,Scientific & Technical Instruments
FEAM.US,Basic Materials,Specialty Chemicals
FXLV.US,Consumer Cyclical,Leisure
GES.US,Consumer Cyclical,Apparel Retail
FTNT.US,Technology,Software—Infrastructure
GRWG.US,Consumer Cyclical,Specialty Retail
INTC.US,Technology,Semiconductors
ARDX.US,Healthcare,Biotechnology
CSCO.US,Technology,Communication Equipment
AMPL.US,Technology,Software—Application
ADP.US,Industrials,Staffing & Employment Services
FICO.US,Technology,Software—Application
BF-A.US,NA,NA
MOR.US,Healthcare,Biotechnology
NUVL.US,Healthcare,Biotechnology
EFTR.US,Healthcare,Biotechnology
CLPS.US,Technology,Information Technology Services
JOUT.US,Consumer Cyclical,Leisure
GLOP_B.US,NA,NA
SAP.US,Technology,Software—Application
NCLH.US,Consumer Cyclical,Travel Services
RJF.US,Financial Services,Capital Markets
EGO.US,Basic Materials,Gold
UBX.US,Healthcare,Biotechnology
BWA.US,Consumer Cyclical,Auto Parts
WING.US,Consumer Cyclical,Restaurants
XNET.US,Communication Services,Advertising Agencies
DGICB.US,Financial Services,Insurance—Property & Casualty
CMCSA.US,Communication Services,Telecom Services
FROG.US,Technology,Software—Application
AGM-A.US,Financial Services,Credit Services
SSL.US,Basic Materials,Specialty Chemicals
AGTI.US,Healthcare,Health Information Services
POWL.US,Industrials,Electrical Equipment & Parts
BVH.US,Consumer Cyclical,Resorts & Casinos
MYTE.US,Consumer Cyclical,Luxury Goods
VNET.US,Technology,Information Technology Services
DOYU.US,Communication Services,Internet Content & Information
AQB.US,Consumer Defensive,Farm Products
GHM.US,Industrials,Specialty Industrial Machinery
CHE.US,Healthcare,Medical Care Facilities
GGAL.US,Financial Services,Banks—Regional
VERV.US,Healthcare,Biotechnology
NGL_B.US,NA,NA
