<TICKER>,<SECTOR>,<INDUSTRY>
MDC.US,Consumer Cyclical,Residential Construction
PARAA.US,Communication Services,Entertainment
AZRE.US,Utilities,Utilities—Renewable
CASS.US,Industrials,Specialty Business Services
CNK.US,Communication Services,Entertainment
HTZ.US,Industrials,Rental & Leasing Services
IMCR.US,Healthcare,Biotechnology
UHT.US,Real Estate,REIT—Healthcare Facilities
GPC.US,Consumer Cyclical,Specialty Retail
SCTL.US,Healthcare,Drug Manufacturers—Specialty & Generic
OBLG.US,Technology,Software—Application
FNV.US,Basic Materials,Gold
BNS.US,Financial Services,Banks—Diversified
ICE.US,Financial Services,Financial Data & Stock Exchanges
USPH.US,Healthcare,Medical Care Facilities
UPWK.US,Industrials,Staffing & Employment Services
AWI.US,Industrials,Building Products & Equipment
CARG.US,Consumer Cyclical,Auto & Truck Dealerships
BMBL.US,Technology,Software—Application
MOS.US,Basic Materials,Agricultural Inputs
ARGO.US,Financial Services,Insurance—Property & Casualty
NXRT.US,Real Estate,REIT—Residential
PLBC.US,Financial Services,Banks—Regional
TTNP.US,Healthcare,Biotechnology
AZTA.US,Healthcare,Medical Instruments & Supplies
VAPO.US,Healthcare,Medical Devices
UNF.US,Industrials,Specialty Business Services
ASND.US,Healthcare,Biotechnology
FND.US,Consumer Cyclical,Home Improvement Retail
TSBK.US,Financial Services,Banks—Regional
TCS.US,Consumer Cyclical,Specialty Retail
OKE.US,Energy,Oil & Gas Midstream
SIEB.US,Financial Services,Capital Markets
JFIN.US,Communication Services,Internet Content & Information
AI.US,Technology,Software—Application
NBR.US,Energy,Oil & Gas Drilling
OPRX.US,Healthcare,Health Information Services
ARW.US,Technology,Electronics & Computer Distribution
APYX.US,Healthcare,Medical Devices
EW.US,Healthcare,Medical Devices
UBP_H.US,NA,NA
PRPO.US,Healthcare,Diagnostics & Research
PMTS.US,Financial Services,Credit Services
RLI.US,Financial Services,Insurance—Property & Casualty
FCNCA.US,Financial Services,Banks—Regional
DYN.US,Healthcare,Biotechnology
HUMA.US,Healthcare,Biotechnology
UPLD.US,Technology,Software—Application
WHD.US,Energy,Oil & Gas Equipment & Services
TV.US,Communication Services,Telecom Services
JAMF.US,Technology,Software—Application
DATS.US,Technology,Software—Application
EVR.US,Financial Services,Capital Markets
COTY.US,Consumer Defensive,Household & Personal Products
LVS.US,Consumer Cyclical,Resorts & Casinos
OLED.US,Technology,Electronic Components
OPEN.US,Real Estate,Real Estate Services
GDYN.US,Technology,Information Technology Services
INVA.US,Healthcare,Biotechnology
MO.US,Consumer Defensive,Tobacco
NWPX.US,Industrials,Metal Fabrication
SMLR.US,Healthcare,Medical Devices
EXLS.US,Technology,Information Technology Services
STRS.US,Real Estate,Real Estate—Diversified
PXS.US,Industrials,Marine Shipping
ESTE.US,Energy,Oil & Gas E&P
MUX.US,Basic Materials,Other Precious Metals & Mining
SPXC.US,Industrials,Specialty Industrial Machinery
FCPT.US,Real Estate,REIT—Retail
MOMO.US,Communication Services,Internet Content & Information
RPT_D.US,NA,NA
BOOM.US,Energy,Oil & Gas Equipment & Services
WORX.US,Healthcare,Health Information Services
OCFCP.US,Financial Services,Banks—Regional
CBAN.US,Financial Services,Banks—Regional
FRC_I.US,NA,NA
CKPT.US,Healthcare,Biotechnology
ELF.US,Consumer Defensive,Household & Personal Products
CNC.US,Healthcare,Healthcare Plans
SPWR.US,Technology,Solar
ACAD.US,Healthcare,Biotechnology
GBIO.US,Healthcare,Biotechnology
ALGN.US,Healthcare,Medical Devices
SWTX.US,Healthcare,Biotechnology
HLNE.US,Financial Services,Asset Management
PEAK.US,Real Estate,REIT—Healthcare Facilities
DKNG.US,Consumer Cyclical,Gambling
SEEL.US,Healthcare,Biotechnology
JLL.US,Real Estate,Real Estate Services
NVMI.US,Technology,Semiconductor Equipment & Materials
WINT.US,Healthcare,Biotechnology
GLYC.US,Healthcare,Biotechnology
PRMW.US,Consumer Defensive,Beverages—Non-Alcoholic
ONEW.US,Consumer Cyclical,Recreational Vehicles
REG.US,Real Estate,REIT—Retail
CZNC.US,Financial Services,Banks—Regional
TBNK.US,Financial Services,Banks—Regional
FITBI.US,Financial Services,Banks—Regional
FGFPP.US,Financial Services,Insurance—Diversified
DFFN.US,Healthcare,Biotechnology
RGP.US,Industrials,Consulting Services
GIS.US,Consumer Defensive,Packaged Foods
PM.US,Consumer Defensive,Tobacco
URGN.US,Healthcare,Biotechnology
GIL.US,Consumer Cyclical,Apparel Manufacturing
CRKN.US,Basic Materials,Specialty Chemicals
HKD.US,Technology,Software—Application
KWR.US,Basic Materials,Specialty Chemicals
HPK.US,Energy,Oil & Gas E&P
MET.US,Financial Services,Insurance—Life
ASIX.US,Basic Materials,Chemicals
PGC.US,Financial Services,Banks—Regional
ALXO.US,Healthcare,Biotechnology
DIS.US,Communication Services,Entertainment
IONQ-WS.US,Technology,Computer Hardware
SCU.US,Financial Services,Asset Management
FONR.US,Healthcare,Medical Devices
INTA.US,Technology,Software—Application
TNET.US,Industrials,Staffing & Employment Services
VCYT.US,Healthcare,Biotechnology
HVT-A.US,Consumer Cyclical,Home Improvement Retail
BTWNU.US,Financial Services,Shell Companies
PATK.US,Consumer Cyclical,Furnishings Fixtures & Appliances
ENSC.US,Healthcare,Biotechnology
LAD.US,Consumer Cyclical,Auto & Truck Dealerships
VACC.US,Healthcare,Biotechnology
BPTS.US,Healthcare,Biotechnology
ELAN.US,Healthcare,Drug Manufacturers—Specialty & Generic
AER.US,Industrials,Rental & Leasing Services
RZB.US,NA,NA
WMT.US,Consumer Defensive,Discount Stores
AROW.US,Financial Services,Banks—Regional
CPRI.US,Consumer Cyclical,Luxury Goods
NICE.US,Technology,Software—Application
ACR_C.US,NA,NA
TRTN_B.US,NA,NA
GLBS.US,Industrials,Marine Shipping
OTRK.US,Healthcare,Health Information Services
GAB_H.US,NA,NA
PSMT.US,Consumer Defensive,Discount Stores
ALTI.US,Financial Services,Asset Management
DCTH.US,Healthcare,Medical Devices
HBI.US,Consumer Cyclical,Apparel Manufacturing
BFS_D.US,NA,NA
NEWTL.US,NA,NA
PDCO.US,Healthcare,Medical Distribution
BX.US,Financial Services,Asset Management
APDN.US,Healthcare,Diagnostics & Research
GFL.US,Industrials,Waste Management
UTMD.US,Healthcare,Medical Instruments & Supplies
HWKN.US,Basic Materials,Specialty Chemicals
ALBT.US,Real Estate,Real Estate Services
ADTX.US,Healthcare,Biotechnology
CE.US,Basic Materials,Chemicals
CFBK.US,Financial Services,Banks—Regional
CMBM.US,Technology,Communication Equipment
NYMTL.US,Real Estate,REIT—Mortgage
PAG.US,Consumer Cyclical,Auto & Truck Dealerships
RCAT.US,Technology,Computer Hardware
GOSS.US,Healthcare,Biotechnology
FLGC.US,Healthcare,Drug Manufacturers—Specialty & Generic
TRNS.US,Industrials,Industrial Distribution
CNOB.US,Financial Services,Banks—Regional
LUNG.US,Healthcare,Medical Devices
XBIO.US,Healthcare,Biotechnology
APLT.US,Healthcare,Biotechnology
FCCO.US,Financial Services,Banks—Regional
ACNB.US,Financial Services,Banks—Regional
LYV.US,Communication Services,Entertainment
CTBB.US,NA,NA
NVDL.US,NA,NA
MEC.US,Industrials,Metal Fabrication
RVNC.US,Healthcare,Biotechnology
TFC.US,Financial Services,Banks—Regional
RDFN.US,Real Estate,Real Estate Services
EDIT.US,Healthcare,Biotechnology
CMC.US,Basic Materials,Steel
JD.US,Consumer Cyclical,Internet Retail
OFED.US,Financial Services,Banks—Regional
BMRA.US,Healthcare,Medical Devices
SCCO.US,Basic Materials,Copper
AMED.US,Healthcare,Medical Care Facilities
LFG.US,NA,NA
MPWR.US,Technology,Semiconductors
SWAV.US,Healthcare,Medical Devices
TRGP.US,Energy,Oil & Gas Midstream
FVRR.US,Communication Services,Internet Content & Information
WRLD.US,Financial Services,Credit Services
PUK.US,Financial Services,Insurance—Life
UFI.US,Consumer Cyclical,Textile Manufacturing
NXST.US,Communication Services,Entertainment
PDM.US,Real Estate,REIT—Office
PRA.US,Financial Services,Insurance—Property & Casualty
TARO.US,Healthcare,Drug Manufacturers—Specialty & Generic
FSTX.US,Healthcare,Biotechnology
AMWL.US,Healthcare,Health Information Services
ERII.US,Industrials,Pollution & Treatment Controls
DCP_C.US,NA,NA
INMD.US,Healthcare,Medical Devices
PKX.US,Basic Materials,Steel
AWIN.US,Technology,Scientific & Technical Instruments
SNOW.US,Technology,Software—Application
V.US,Financial Services,Credit Services
GGAA.US,Financial Services,Shell Companies
KRNT.US,Industrials,Specialty Industrial Machinery
CNFRL.US,NA,NA
AEM.US,Basic Materials,Gold
GNTX.US,Consumer Cyclical,Auto Parts
BAC_N.US,NA,NA
ADXN.US,Healthcare,Biotechnology
ONCS.US,Healthcare,Biotechnology
SCE_L.US,NA,NA
GBCI.US,Financial Services,Banks—Regional
DRQ.US,Energy,Oil & Gas Equipment & Services
HUYA.US,Communication Services,Entertainment
FRT_C.US,NA,NA
SOPA.US,Technology,Software—Application
SBOW.US,Energy,Oil & Gas E&P
SFIX.US,Consumer Cyclical,Apparel Retail
STT_G.US,NA,NA
WISH.US,Consumer Cyclical,Internet Retail
ITRM.US,Healthcare,Biotechnology
SUM.US,Basic Materials,Building Materials
AGL.US,Healthcare,Medical Care Facilities
GCT.US,Technology,Software—Infrastructure
HSII.US,Industrials,Staffing & Employment Services
EEFT.US,Technology,Software—Infrastructure
NSA_A.US,NA,NA
SPCE.US,Industrials,Aerospace & Defense
SPIR.US,Industrials,Specialty Business Services
CMPR.US,Communication Services,Advertising Agencies
AKRO.US,Healthcare,Biotechnology
BFAM.US,Consumer Cyclical,Personal Services
CCSI.US,Technology,Software—Infrastructure
GRIN.US,Industrials,Marine Shipping
USEG.US,Energy,Oil & Gas E&P
RPM.US,Basic Materials,Specialty Chemicals
CMMB.US,Healthcare,Biotechnology
AKAM.US,Technology,Software—Infrastructure
HELE.US,Consumer Defensive,Household & Personal Products
HP.US,Energy,Oil & Gas Drilling
NVDS.US,NA,NA
ATXS.US,Healthcare,Biotechnology
SCKT.US,Technology,Computer Hardware
AIMC.US,Industrials,Specialty Industrial Machinery
ASBA.US,NA,NA
TWST.US,Healthcare,Diagnostics & Research
ORTX.US,Healthcare,Biotechnology
SUNW.US,Technology,Solar
UTME.US,Technology,Consumer Electronics
MNSB.US,Financial Services,Banks—Regional
CWEN.US,Utilities,Utilities—Renewable
AXTI.US,Technology,Semiconductor Equipment & Materials
ELEV.US,Healthcare,Biotechnology
ADSK.US,Technology,Software—Application
CURV.US,Consumer Cyclical,Apparel Retail
GMED.US,Healthcare,Medical Devices
FBIZ.US,Financial Services,Banks—Regional
IFBD.US,Technology,Software—Application
AIR.US,Industrials,Aerospace & Defense
BAC.US,Financial Services,Banks—Diversified
NTNX.US,Technology,Software—Infrastructure
LCID.US,Consumer Cyclical,Auto Manufacturers
DDL.US,Consumer Defensive,Grocery Stores
EML.US,Industrials,Tools & Accessories
COWN.US,Financial Services,Capital Markets
PII.US,Consumer Cyclical,Recreational Vehicles
LCNB.US,Financial Services,Banks—Regional
ACIU.US,Healthcare,Biotechnology
LNW.US,Consumer Cyclical,Gambling
NSSC.US,Industrials,Security & Protection Services
CCRN.US,Healthcare,Medical Care Facilities
HGTY.US,Financial Services,Insurance—Property & Casualty
ROCC.US,Energy,Oil & Gas E&P
SNAP.US,Communication Services,Internet Content & Information
T.US,Communication Services,Telecom Services
AX.US,Financial Services,Banks—Regional
SRC.US,Real Estate,REIT—Diversified
PKBK.US,Financial Services,Banks—Regional
FLYW.US,Technology,Software—Infrastructure
HURN.US,Industrials,Consulting Services
CIM_D.US,NA,NA
NOC.US,Industrials,Aerospace & Defense
AXSM.US,Healthcare,Biotechnology
SITE.US,Industrials,Industrial Distribution
SPB.US,Consumer Defensive,Household & Personal Products
DDD.US,Technology,Computer Hardware
EMBC.US,Healthcare,Medical Instruments & Supplies
PEG.US,Utilities,Utilities—Regulated Electric
FHB.US,Financial Services,Banks—Regional
TNP_F.US,NA,NA
ICLK.US,Communication Services,Advertising Agencies
VNO_M.US,NA,NA
FRPH.US,Real Estate,Real Estate Services
CRVL.US,Financial Services,Insurance Brokers
HEES.US,Industrials,Rental & Leasing Services
PHM.US,Consumer Cyclical,Residential Construction
GNPX.US,Healthcare,Biotechnology
PATH.US,Technology,Software—Infrastructure
TESS.US,Technology,Communication Equipment
VERO.US,Healthcare,Medical Devices
HOTH.US,Healthcare,Biotechnology
REGN.US,Healthcare,Biotechnology
MAR.US,Consumer Cyclical,Lodging
TWLO.US,Communication Services,Internet Content & Information
TANNI.US,NA,NA
BILL.US,Technology,Software—Application
AMT.US,Real Estate,REIT—Specialty
BLDP.US,Industrials,Specialty Industrial Machinery
DOCN.US,Technology,Software—Infrastructure
GFF.US,Industrials,Conglomerates
MOD.US,Consumer Cyclical,Auto Parts
NI.US,Utilities,Utilities—Regulated Gas
ZYME.US,Healthcare,Biotechnology
EWTX.US,Healthcare,Biotechnology
SSKN.US,Healthcare,Medical Devices
GATO.US,Basic Materials,Other Precious Metals & Mining
IAS.US,Communication Services,Advertising Agencies
IBEX.US,Technology,Information Technology Services
EYE.US,Consumer Cyclical,Specialty Retail
IRON.US,Healthcare,Biotechnology
MBNKP.US,Financial Services,Banks—Regional
AEVA.US,Consumer Cyclical,Auto Parts
CGNX.US,Technology,Scientific & Technical Instruments
BAC_M.US,NA,NA
SANG.US,Technology,Software—Infrastructure
PGEN.US,Healthcare,Biotechnology
LEGN.US,Healthcare,Biotechnology
BTBT.US,Financial Services,Capital Markets
FRG.US,Consumer Cyclical,Specialty Retail
CVS.US,Healthcare,Healthcare Plans
GHRS.US,Healthcare,Biotechnology
NVEI.US,Technology,Software—Infrastructure
INPX.US,Technology,Software—Application
ALL_B.US,NA,NA
SPRY.US,Healthcare,Biotechnology
ARR_C.US,NA,NA
FRGE.US,Technology,Software—Application
PR.US,Energy,Oil & Gas E&P
HLTH.US,Healthcare,Health Information Services
SNN.US,Healthcare,Medical Devices
BBY.US,Consumer Cyclical,Specialty Retail
ETNB.US,Healthcare,Biotechnology
PWSC.US,Technology,Software—Application
TRHC.US,Healthcare,Health Information Services
CFG_D.US,NA,NA
AY.US,Utilities,Utilities—Renewable
CLGN.US,Healthcare,Biotechnology
OLPX.US,Consumer Cyclical,Specialty Retail
STRR.US,Healthcare,Diagnostics & Research
AOSL.US,Technology,Semiconductors
LILA.US,Communication Services,Telecom Services
BA.US,Industrials,Aerospace & Defense
BWMX.US,Consumer Cyclical,Specialty Retail
KYMR.US,Healthcare,Biotechnology
TFIN.US,Financial Services,Banks—Regional
NTRSO.US,Financial Services,Asset Management
VRME.US,Industrials,Security & Protection Services
FOX.US,Communication Services,Entertainment
TOL.US,Consumer Cyclical,Residential Construction
SRAD.US,Technology,Software—Application
FOXF.US,Consumer Cyclical,Auto Parts
LL.US,Consumer Cyclical,Home Improvement Retail
PBLA.US,Healthcare,Biotechnology
SSTI.US,Technology,Software—Application
MITT_A.US,NA,NA
SR.US,Utilities,Utilities—Regulated Gas
QFIN.US,Financial Services,Credit Services
ATNF.US,Healthcare,Biotechnology
AVY.US,Consumer Cyclical,Packaging & Containers
CATY.US,Financial Services,Banks—Regional
ABG.US,Consumer Cyclical,Auto & Truck Dealerships
FET.US,Energy,Oil & Gas Equipment & Services
RMD.US,Healthcare,Medical Instruments & Supplies
SUN.US,Energy,Oil & Gas Refining & Marketing
ADPT.US,Healthcare,Biotechnology
THFF.US,Financial Services,Banks—Regional
BON.US,Consumer Defensive,Packaged Foods
SELB.US,Healthcare,Biotechnology
OLMA.US,Healthcare,Biotechnology
NM_H.US,NA,NA
SFT.US,Consumer Cyclical,Auto & Truck Dealerships
STT.US,Financial Services,Asset Management
TILE.US,Industrials,Building Products & Equipment
RNR_F.US,NA,NA
MMAT.US,Technology,Electronic Components
LPRO.US,Financial Services,Credit Services
PLAY.US,Communication Services,Entertainment
PCYO.US,Utilities,Utilities—Regulated Water
ANSS.US,Technology,Software—Application
NRIX.US,Healthcare,Biotechnology
QTT.US,Communication Services,Internet Content & Information
SIX.US,Consumer Cyclical,Leisure
GOOS.US,Consumer Cyclical,Apparel Manufacturing
AMV.US,Consumer Cyclical,Auto Parts
SAIC.US,Technology,Information Technology Services
CLVR.US,Healthcare,Drug Manufacturers—Specialty & Generic
CVEO.US,Industrials,Specialty Business Services
NVCN.US,Healthcare,Medical Devices
EDN.US,Utilities,Utilities—Regulated Electric
APOG.US,Industrials,Building Products & Equipment
PETS.US,Healthcare,Pharmaceutical Retailers
