,Unnamed: 0,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,sector,industry
1830,1830,A.US,D,20070309,0,20.6457,20.7871,20.4393,20.6337,5728547.3987418,0,Healthcare,Diagnostics & Research
1831,1831,A.US,D,20070312,0,20.5949,20.8789,20.5749,20.8789,4206668.8535172,0,Healthcare,Diagnostics & Research
1832,1832,A.US,D,20070313,0,20.6865,20.8011,20.5181,20.5749,4598896.8087221,0,Healthcare,Diagnostics & Research
1833,1833,A.US,D,20070314,0,20.5749,20.8319,20.4723,20.7871,4661614.8673836,0,Healthcare,Diagnostics & Research
1834,1834,A.US,D,20070315,0,20.7193,20.7941,20.4323,20.5949,3309895.6465795,0,Healthcare,Diagnostics & Research
1835,1835,A.US,D,20070316,0,20.5869,20.7383,20.4842,20.6287,3309274.4769878,0,Healthcare,Diagnostics & Research
1836,1836,A.US,D,20070319,0,20.7751,20.9057,20.6457,20.6925,2160366.6261204,0,Healthcare,Diagnostics & Research
1837,1837,A.US,D,20070320,0,20.7263,21.0651,20.6735,20.825,3904821.5756568,0,Healthcare,Diagnostics & Research
1838,1838,A.US,D,20070321,0,20.8858,20.9367,20.7124,20.8459,3580188.7133876,0,Healthcare,Diagnostics & Research
1839,1839,A.US,D,20070322,0,20.9835,21.2983,20.7871,21.1718,5287236.0072379,0,Healthcare,Diagnostics & Research
1840,1840,A.US,D,20070323,0,21.0981,21.8873,21.0981,21.5843,5169642.281448,0,Healthcare,Diagnostics & Research
1841,1841,A.US,D,20070326,0,21.4528,21.6581,21.0651,21.6581,4562380.2654712,0,Healthcare,Diagnostics & Research
1842,1842,A.US,D,20070327,0,21.6322,21.965,21.5505,21.8484,4630740.0292128,0,Healthcare,Diagnostics & Research
1843,1843,A.US,D,20070328,0,21.6202,21.9272,21.5505,21.7498,3942223.210313,0,Healthcare,Diagnostics & Research
1844,1844,A.US,D,20070329,0,21.9331,22.0637,21.7498,21.8992,5513666.8742341,0,Healthcare,Diagnostics & Research
1845,1845,A.US,D,20070330,0,21.8803,21.9899,21.7767,21.8873,3941762.6015204,0,Healthcare,Diagnostics & Research
1846,1846,A.US,D,20070402,0,21.8484,22.0886,21.7577,22.0637,3454120.3879178,0,Healthcare,Diagnostics & Research
1847,1847,A.US,D,20070403,0,22.1274,22.533,22.0886,22.4474,4901188.6392951,0,Healthcare,Diagnostics & Research
1848,1848,A.US,D,20070404,0,22.528,22.6277,22.4602,22.6148,3717811.3953659,0,Healthcare,Diagnostics & Research
1849,1849,A.US,D,20070405,0,22.6088,22.7054,22.538,22.551,4101925.0091839,0,Healthcare,Diagnostics & Research
1850,1850,A.US,D,20070409,0,22.6217,22.8688,22.5758,22.7752,4001161.0656596,0,Healthcare,Diagnostics & Research
1851,1851,A.US,D,20070410,0,22.6217,22.7373,22.5828,22.6776,2999116.1707616,0,Healthcare,Diagnostics & Research
1852,1852,A.US,D,20070411,0,22.6506,22.7054,22.4602,22.4942,4042278.6793111,0,Healthcare,Diagnostics & Research
1853,1853,A.US,D,20070412,0,22.5081,22.7054,22.4274,22.6506,3044965.3104629,0,Healthcare,Diagnostics & Research
1854,1854,A.US,D,20070413,0,22.801,22.801,22.245,22.3935,5037080.2751576,0,Healthcare,Diagnostics & Research
1855,1855,A.US,D,20070416,0,22.4134,22.7422,22.3596,22.7254,3078076.9612669,0,Healthcare,Diagnostics & Research
1856,1856,A.US,D,20070417,0,22.6326,23.2555,22.6088,23.102,5988378.9259805,0,Healthcare,Diagnostics & Research
1857,1857,A.US,D,20070418,0,22.8688,23.1588,22.7622,23.0492,4434723.3915948,0,Healthcare,Diagnostics & Research
1858,1858,A.US,D,20070419,0,23.0292,23.1528,22.821,22.8968,3488007.7480826,0,Healthcare,Diagnostics & Research
1859,1859,A.US,D,20070420,0,23.1858,23.2246,22.8618,23.0492,4919357.0972235,0,Healthcare,Diagnostics & Research
1860,1860,A.US,D,20070423,0,22.9616,23.126,22.3985,23.0004,3409792.5617884,0,Healthcare,Diagnostics & Research
1861,1861,A.US,D,20070424,0,23.0622,23.1458,22.8688,22.9616,3006171.814379,0,Healthcare,Diagnostics & Research
1862,1862,A.US,D,20070425,0,22.9884,23.0492,22.849,22.849,5696222.4958536,0,Healthcare,Diagnostics & Research
1863,1863,A.US,D,20070426,0,22.9276,22.9944,22.7482,22.7812,6719373.1077995,0,Healthcare,Diagnostics & Research
1864,1864,A.US,D,20070427,0,22.6386,22.7622,22.4872,22.551,4575480.0196716,0,Healthcare,Diagnostics & Research
1865,1865,A.US,D,20070430,0,22.5888,22.6386,22.3118,22.3268,4505623.0264779,0,Healthcare,Diagnostics & Research
1866,1866,A.US,D,20070501,0,22.3985,23.383,22.3466,23.383,6794082.0476424,0,Healthcare,Diagnostics & Research
1867,1867,A.US,D,20070502,0,23.3143,23.7528,23.2555,23.6352,4934650.5133422,0,Healthcare,Diagnostics & Research
1868,1868,A.US,D,20070503,0,23.6072,23.7587,23.5166,23.683,3066224.5637748,0,Healthcare,Diagnostics & Research
1869,1869,A.US,D,20070504,0,23.683,24.0397,23.5834,24.0338,4687847.4914492,0,Healthcare,Diagnostics & Research
1870,1870,A.US,D,20070507,0,24.0039,24.2729,23.9441,24.1872,3703790.4235805,0,Healthcare,Diagnostics & Research
1871,1871,A.US,D,20070508,0,24.0676,24.3128,24.0208,24.261,3527623.114757,0,Healthcare,Diagnostics & Research
1872,1872,A.US,D,20070509,0,24.0945,24.3656,24.0397,24.3257,2953086.4001612,0,Healthcare,Diagnostics & Research
1873,1873,A.US,D,20070510,0,24.0338,24.1494,23.375,23.396,5228848.0726282,0,Healthcare,Diagnostics & Research
1874,1874,A.US,D,20070511,0,23.3362,23.5963,23.0492,23.5236,6293657.1874177,0,Healthcare,Diagnostics & Research
1875,1875,A.US,D,20070514,0,23.689,23.8683,23.1996,23.3292,5573766.7883647,0,Healthcare,Diagnostics & Research
1876,1876,A.US,D,20070515,0,24.254,24.9914,24.254,24.543,12879279.135509,0,Healthcare,Diagnostics & Research
1877,1877,A.US,D,20070516,0,24.3467,24.5938,24.2799,24.5669,4170193.4539711,0,Healthcare,Diagnostics & Research
1878,1878,A.US,D,20070517,0,24.2939,24.6805,24.2939,24.4443,3837166.2724215,0,Healthcare,Diagnostics & Research
1879,1879,A.US,D,20070518,0,24.4134,24.8319,24.3955,24.6875,4200359.8176158,0,Healthcare,Diagnostics & Research
1880,1880,A.US,D,20070521,0,24.4264,25.0123,24.4264,24.8957,5407743.9115322,0,Healthcare,Diagnostics & Research
1881,1881,A.US,D,20070522,0,24.9137,25.1747,24.825,25.0393,6108440.2705523,0,Healthcare,Diagnostics & Research
1882,1882,A.US,D,20070523,0,25.2207,25.3163,25.0053,25.0671,4001333.6685187,0,Healthcare,Diagnostics & Research
1883,1883,A.US,D,20070524,0,24.5938,25.2395,24.4194,24.4772,4821497.2971537,0,Healthcare,Diagnostics & Research
1884,1884,A.US,D,20070525,0,24.4991,25.0393,24.3656,24.9267,4603294.1676087,0,Healthcare,Diagnostics & Research
1885,1885,A.US,D,20070529,0,25.0123,25.0601,24.7513,24.8957,3271918.0000564,0,Healthcare,Diagnostics & Research
1886,1886,A.US,D,20070530,0,24.7513,24.9445,24.7005,24.8768,3037743.0850162,0,Healthcare,Diagnostics & Research
1887,1887,A.US,D,20070531,0,24.8061,24.9017,24.7513,24.7991,3339340.4901329,0,Healthcare,Diagnostics & Research
1888,1888,A.US,D,20070601,0,24.7991,24.9207,24.5868,24.8699,2925136.7790499,0,Healthcare,Diagnostics & Research
1889,1889,A.US,D,20070604,0,24.6875,25.0961,24.6805,24.9914,2455211.446128,0,Healthcare,Diagnostics & Research
1890,1890,A.US,D,20070605,0,24.825,25.0521,24.8121,24.9914,3021584.6475921,0,Healthcare,Diagnostics & Research
1891,1891,A.US,D,20070606,0,24.8061,25.0123,24.7861,24.9267,3275811.5994357,0,Healthcare,Diagnostics & Research
1892,1892,A.US,D,20070607,0,24.7652,24.9267,24.2081,24.2081,3927909.2150691,0,Healthcare,Diagnostics & Research
